id	seqid	source	start	end	score	strand	gene_id	gene_name	gene_biotype
rpl.359107	359107	1	ensembl_havana	23269503	23274504	.	-	ENSDARG00000037350	rpl9	protein_coding
rpl.410192	410192	9	ensembl_havana	21824763	21825913	.	-	ENSDARG00000069850	mrpl30	protein_coding
rpl.423498	423498	9	ensembl_havana	33323104	33329787	.	-	ENSDARG00000014867	rpl8	protein_coding
rpl.440323	440323	9	ensembl	56225410	56232296	.	-	ENSDARG00000053365	rpl31	protein_coding
rpl.442440	442440	16	ensembl_havana	4540981	4547193	.	-	ENSDARG00000041340	mrpl51	protein_coding
rpl.452304	452304	16	ensembl_havana	15052513	15097513	.	-	ENSDARG00000056903	mrpl13	protein_coding
rpl.453752	453752	16	ensembl_havana	16969086	16991808	.	+	ENSDARG00000029533	rpl18	protein_coding
rpl.462542	462542	16	ensembl_havana	26020886	26022068	.	+	ENSDARG00000075677	mrpl17	protein_coding
rpl.480104	480104	16	ensembl	43344475	43346916	.	+	ENSDARG00000060489	mrpl32	protein_coding
rpl.484850	484850	16	ensembl	51883725	51889734	.	-	ENSDARG00000005791	rpl28	protein_coding
rpl.505318	505318	20	ensembl_havana	25440514	25445246	.	-	ENSDARG00000011885	mrpl19	protein_coding
rpl.519674	519674	20	ensembl_havana	36675083	36679233	.	-	ENSDARG00000042864	rpl7l1	protein_coding
rpl.535551	535551	8	ensembl_havana	2493794	2506384	.	-	ENSDARG00000058451	rpl6	protein_coding
rpl.535631	535631	8	ensembl_havana	2530065	2535826	.	+	ENSDARG00000043554	mrpl40	protein_coding
rpl.555748	555748	8	ensembl_havana	23738122	23742985	.	+	ENSDARG00000042905	rpl10a	protein_coding
rpl.603561	603561	17	ensembl_havana	24615091	24618279	.	+	ENSDARG00000044093	rpl13a	protein_coding
rpl.606453	606453	17	ensembl_havana	26608510	26610862	.	-	ENSDARG00000007285	mrpl57	protein_coding
rpl.618120	618120	17	ensembl	40989973	40999861	.	+	ENSDARG00000104031	mrpl33	protein_coding
rpl.619619	619619	17	ensembl_havana	43512876	43517542	.	-	ENSDARG00000070589	mrpl35	protein_coding
rpl.650686	650686	14	ensembl_havana	30557361	30620537	.	+	ENSDARG00000013075	mrpl11	protein_coding
rpl.654610	654610	14	ensembl_havana	33331773	33348221	.	-	ENSDARG00000036316	rpl39	protein_coding
rpl.657442	657442	14	ensembl_havana	35499678	35505537	.	-	ENSDARG00000060199	mrpl18	protein_coding
rpl.666658	666658	14	ensembl_havana	52563794	52568371	.	+	ENSDARG00000102317	rpl26	protein_coding
rpl.704677	704677	13	ensembl_havana	42676202	42679041	.	+	ENSDARG00000068886	mrpl14	protein_coding
rpl.709721	709721	13	ensembl	51893676	51903150	.	-	ENSDARG00000062568	mrpl2	protein_coding
rpl.727207	727207	18	ensembl_havana	19451070	19456269	.	-	ENSDARG00000041182	rpl4	protein_coding
rpl.744135	744135	18	ensembl	45781115	45791224	.	+	ENSDARG00000088030	rpl35a	protein_coding
rpl.747620	747620	12	ensembl	47439	49920	.	+	ENSDARG00000078835	mrpl58	protein_coding
rpl.766485	766485	12	ensembl_havana	21684239	21688087	.	+	ENSDARG00000032985	mrpl27	protein_coding
rpl.772289	772289	12	ensembl_havana	28796622	28799642	.	-	ENSDARG00000045091	mrpl10	protein_coding
rpl.778197	778197	12	ensembl_havana	33817327	33819096	.	+	ENSDARG00000076334	mrpl43	protein_coding
rpl.781085	781085	12	ensembl_havana	38556462	38561842	.	+	ENSDARG00000006413	rpl38	protein_coding
rpl.783801	783801	12	ensembl	45238292	45257211	.	+	ENSDARG00000039667	mrpl38	protein_coding
rpl.790584	790584	19	ensembl_havana	1852078	1855368	.	-	ENSDARG00000021864	rplp1	protein_coding
rpl.797149	797149	19	ensembl_havana	7495791	7506134	.	+	ENSDARG00000019222	mrpl24	protein_coding
rpl.797212	797212	19	ensembl_havana	7518304	7525588	.	-	ENSDARG00000063249	mrpl9	protein_coding
rpl.805398	805398	19	ensembl_havana	17385561	17395587	.	+	ENSDARG00000009285	rpl15	protein_coding
rpl.807073	807073	19	ensembl_havana	19193851	19217263	.	+	ENSDARG00000103318	mrpl3	protein_coding
rpl.815827	815827	19	ensembl_havana	28284120	28290213	.	+	ENSDARG00000070607	mrpl36	protein_coding
rpl.818662	818662	19	ensembl_havana	32158010	32164532	.	+	ENSDARG00000008920	mrpl53	protein_coding
rpl.819151	819151	19	ensembl_havana	32855139	32860780	.	+	ENSDARG00000035871	rpl30	protein_coding
rpl.827596	827596	19	ensembl	43780970	43786940	.	+	ENSDARG00000043509	rpl11	protein_coding
rpl.830318	830318	19	ensembl_havana	48364312	48371092	.	-	ENSDARG00000103433	rpl14	protein_coding
rpl.843144	843144	15	ensembl_havana	17128282	17138640	.	-	ENSDARG00000057805	mrpl28	protein_coding
rpl.864668	864668	15	ensembl_havana	35214546	35224481	.	-	ENSDARG00000094277	mrpl44	protein_coding
rpl.890348	890348	23	ensembl_havana	19712557	19715859	.	-	ENSDARG00000025581	rpl10	protein_coding
rpl.922097	922097	21	ensembl_havana	5194602	5205653	.	-	ENSDARG00000034291	rpl37	protein_coding
rpl.922889	922889	21	ensembl	5873227	5881344	.	-	ENSDARG00000018334	rpl35	protein_coding
rpl.933226	933226	21	ensembl_havana	18997503	19067517	.	+	ENSDARG00000057556	rpl17	protein_coding
rpl.942011	942011	21	ensembl_havana	26071874	26074640	.	+	ENSDARG00000006316	rpl23a	protein_coding
rpl.950328	950328	21	ensembl	36381960	36396334	.	-	ENSDARG00000109961	mrpl22	protein_coding
rpl.960899	960899	11	ensembl_havana	1396170	1400634	.	-	ENSDARG00000077717	rpl29	protein_coding
rpl.970697	970697	11	ensembl_havana	11319141	11331146	.	-	ENSDARG00000058824	mrpl4	protein_coding
rpl.971909	971909	11	ensembl_havana	12096199	12104917	.	-	ENSDARG00000044942	mrpl45	protein_coding
rpl.988333	988333	11	ensembl_havana	29650011	29658396	.	-	ENSDARG00000070437	rpl22	protein_coding
rpl.1037377	1037377	10	ensembl_havana	36684000	36691681	.	-	ENSDARG00000035167	mrpl48	protein_coding
rpl.1062378	1062378	24	ensembl_havana	21621654	21627293	.	+	ENSDARG00000010516	rpl21	protein_coding
rpl.1067162	1067162	24	ensembl_havana	26475182	26479841	.	-	ENSDARG00000010244	rpl22l1	protein_coding
rpl.1079365	1079365	22	ensembl	9165	10826	.	-	ENSDARG00000090462	mrpl20	protein_coding
rpl.1083958	1083958	22	ensembl_havana	3153876	3159456	.	+	ENSDARG00000100588	rpl36	protein_coding
rpl.1096876	1096876	22	ensembl_havana	15719347	15720347	.	-	ENSDARG00000071468	mrpl54	protein_coding
rpl.1112837	1112837	22	ensembl_havana	31039091	31044066	.	+	ENSDARG00000054818	rpl32	protein_coding
rpl.1141840	1141840	25	ensembl_havana	23777469	23815949	.	+	ENSDARG00000045696	mrpl23	protein_coding
rps.618	618	4	ensembl_havana	325028	330748	.	-	ENSDARG00000045913	mrps10	protein_coding
rps.6501	6501	4	ensembl_havana	5642696	5645166	.	+	ENSDARG00000024465	mrps18a	protein_coding
rps.15144	15144	4	ensembl_havana	12102267	12106039	.	-	ENSDARG00000020015	mrps33	protein_coding
rps.26310	26310	4	ensembl_havana	21648010	21652812	.	-	ENSDARG00000045487	rps16	protein_coding
rps.68526	68526	7	ensembl_havana	14512000	14535862	.	-	ENSDARG00000075129	mrps11	protein_coding
rps.83803	83803	7	ensembl_havana	27041315	27044013	.	+	ENSDARG00000036298	rps13	protein_coding
rps.106574	106574	7	ensembl_havana	51633815	51639699	.	-	ENSDARG00000014690	rps4x	protein_coding
rps.109582	109582	7	ensembl_havana	54092291	54098631	.	-	ENSDARG00000104011	rps17	protein_coding
rps.112430	112430	7	ensembl_havana	58745987	58750400	.	+	ENSDARG00000036044	rps20	processed_transcript
rps.136084	136084	5	ensembl_havana	23136544	23147665	.	+	ENSDARG00000015524	prps1a	protein_coding
rps.137625	137625	5	ensembl_havana	24009668	24029228	.	-	ENSDARG00000035556	rps6ka3a	protein_coding
rps.138118	138118	5	ensembl_havana	24138446	24154437	.	-	ENSDARG00000057855	mrps31	protein_coding
rps.168538	168538	5	ensembl_havana	52971425	53004052	.	-	ENSDARG00000104111	mrps30	protein_coding
rps.178976	178976	5	ensembl_havana	67079540	67115872	.	-	ENSDARG00000044436	rps6ka4	protein_coding
rps.190141	190141	3	ensembl_havana	11072958	11075476	.	+	ENSDARG00000101622	mrps7	protein_coding
rps.194104	194104	3	ensembl_havana	16003122	16010968	.	-	ENSDARG00000057910	mrps34	protein_coding
rps.196587	196587	3	ensembl_havana	18398876	18403179	.	+	ENSDARG00000077291	rps2	protein_coding
rps.205803	205803	3	ensembl_havana	26345732	26351656	.	+	ENSDARG00000010160	rps15a	protein_coding
rps.220883	220883	3	ensembl_havana	37787229	37789244	.	+	ENSDARG00000053058	rps11	protein_coding
rps.221717	221717	3	ensembl_havana	39600562	39613226	.	+	ENSDARG00000019326	prpsap2	protein_coding
rps.234185	234185	3	ensembl	59070401	59083158	.	-	ENSDARG00000099222	prpsap1	protein_coding
rps.236864	236864	6	ensembl	264927	268818	.	+	ENSDARG00000091124	rps19bp1	protein_coding
rps.241353	241353	6	ensembl_havana	6270686	6273519	.	+	ENSDARG00000032725	rps27a	protein_coding
rps.243436	243436	6	ensembl_havana	7709662	7720332	.	-	ENSDARG00000019181	rpsa	protein_coding
rps.252782	252782	6	ensembl	14980761	15029092	.	+	ENSDARG00000061505	mrps9	protein_coding
rps.282138	282138	6	ensembl	49520124	49526510	.	-	ENSDARG00000030408	rps26l	protein_coding
rps.285066	285066	6	ensembl_havana	54174696	54180699	.	-	ENSDARG00000034897	rps10	protein_coding
rps.311071	311071	2	ensembl_havana	24507597	24509698	.	+	ENSDARG00000035860	rps28	protein_coding
rps.313096	313096	2	ensembl_havana	26498446	26501868	.	+	ENSDARG00000055996	rps8a	protein_coding
rps.321621	321621	2	ensembl_havana	35591423	35594184	.	+	ENSDARG00000068305	mrps14	protein_coding
rps.360561	360561	1	ensembl_havana	24355515	24359653	.	+	ENSDARG00000035692	rps3a	protein_coding
rps.376224	376224	1	ensembl_havana	45043767	45049603	.	-	ENSDARG00000019778	rps6	protein_coding
rps.459764	459764	16	ensembl_havana	23788616	23800484	.	-	ENSDARG00000055475	rps27.2	protein_coding
rps.460435	460435	16	ensembl_havana	24188114	24195361	.	-	ENSDARG00000030602	rps19	protein_coding
rps.469655	469655	16	ensembl_havana	31921812	31927522	.	+	ENSDARG00000011405	rps9	protein_coding
rps.473889	473889	16	ensembl	36095582	36118514	.	-	ENSDARG00000109289	mrps15	protein_coding
rps.491046	491046	20	ensembl_havana	3238879	3276339	.	-	ENSDARG00000104103	rps6kc1	protein_coding
rps.512336	512336	20	ensembl_havana	30372352	30377221	.	-	ENSDARG00000042566	rps7	protein_coding
rps.532495	532495	20	ensembl_havana	54079341	54085949	.	+	ENSDARG00000041232	rps29	protein_coding
rps.534145	534145	8	ensembl_havana	926673	944055	.	-	ENSDARG00000059234	mrps27	protein_coding
rps.546707	546707	8	ensembl_havana	17163494	17167830	.	-	ENSDARG00000079823	mrps36	protein_coding
rps.547660	547660	8	ensembl_havana	18193116	18200003	.	-	ENSDARG00000057368	rps8b	protein_coding
rps.580793	580793	8	ensembl_havana	53143211	53152093	.	+	ENSDARG00000041306	mrps25	protein_coding
rps.600760	600760	17	ensembl_havana	22107702	22137199	.	-	ENSDARG00000062209	mrps5	protein_coding
rps.607113	607113	17	ensembl_havana	27064158	27172352	.	+	ENSDARG00000033437	rps6ka1	protein_coding
rps.616963	616963	17	ensembl_havana	38393189	38442362	.	-	ENSDARG00000060551	rps6ka5	protein_coding
rps.627135	627135	17	havana	52559952	52579709	.	-	ENSDARG00000079024	rps6kl1	protein_coding
rps.636026	636026	14	ensembl_havana	8940326	9002405	.	+	ENSDARG00000037574	rps6kal	protein_coding
rps.637812	637812	14	ensembl_havana	12076821	12106603	.	-	ENSDARG00000037506	prps1b	protein_coding
rps.671707	671707	13	ensembl_havana	4995433	5000739	.	+	ENSDARG00000039543	mrps6	protein_coding
rps.672716	672716	13	ensembl	7086735	7157062	.	+	ENSDARG00000028469	rps6ka2	protein_coding
rps.675849	675849	13	ensembl_havana	9303554	9311253	.	-	ENSDARG00000039719	mrps26	protein_coding
rps.693707	693707	13	ensembl_havana	30225262	30235220	.	+	ENSDARG00000039347	rps24	protein_coding
rps.712118	712118	18	ensembl	3037998	3052284	.	+	ENSDARG00000103007	rps3	protein_coding
rps.798574	798574	19	ensembl_havana	8743260	8748571	.	-	ENSDARG00000023298	rps27.1	protein_coding
rps.798818	798818	19	ensembl_havana	8958134	8962906	.	-	ENSDARG00000070985	mrps21	protein_coding
rps.806447	806447	19	ensembl_havana	18617608	18627025	.	-	ENSDARG00000100392	rps18	protein_coding
rps.816794	816794	19	ensembl_havana	30423117	30428901	.	+	ENSDARG00000007065	mrps18b	protein_coding
rps.837456	837456	15	ensembl_havana	6948644	6966245	.	-	ENSDARG00000018073	mrps22	protein_coding
rps.843599	843599	15	ensembl_havana	17406920	17424590	.	+	ENSDARG00000058230	rps6kb1b	protein_coding
rps.858159	858159	15	ensembl_havana	30350061	30354786	.	+	ENSDARG00000033973	mrps23	protein_coding
rps.867857	867857	15	ensembl_havana	39964943	39971756	.	-	ENSDARG00000043453	rps5	protein_coding
rps.881287	881287	23	ensembl_havana	9220436	9228578	.	+	ENSDARG00000025850	rps21	protein_coding
rps.900578	900578	23	ensembl_havana	27675581	27677516	.	+	ENSDARG00000037071	rps26	protein_coding
rps.904545	904545	23	ensembl_havana	31431956	31435922	.	+	ENSDARG00000036875	rps12	protein_coding
rps.923941	923941	21	ensembl	7121942	7128064	.	+	ENSDARG00000103198	mrps2	protein_coding
rps.933507	933507	21	ensembl_havana	19328847	19330333	.	-	ENSDARG00000069624	mrps18c	protein_coding
rps.948451	948451	21	ensembl	33454147	33458430	.	+	ENSDARG00000036629	rps14	protein_coding
rps.950866	950866	21	ensembl	37411547	37418838	.	+	ENSDARG00000054164	mrps17	protein_coding
rps.965397	965397	11	ensembl_havana	5926850	5931622	.	+	ENSDARG00000070849	rps15	protein_coding
rps.998862	998862	11	ensembl	41216191	41222971	.	-	ENSDARG00000098972	mrps16	protein_coding
rps.999971	999971	11	ensembl_havana	42556395	42561215	.	+	ENSDARG00000021838	rps23	protein_coding
rps.1029913	1029913	10	ensembl_havana	28172344	28193642	.	-	ENSDARG00000018399	rps6kb1a	protein_coding
rps.1039453	1039453	10	ensembl_havana	39125637	39130935	.	-	ENSDARG00000041811	rps25	protein_coding
rps.1045218	1045218	10	ensembl_havana	45053577	45058886	.	-	ENSDARG00000100116	mrps24	protein_coding
rps.1064756	1064756	24	ensembl_havana	24183752	24271629	.	-	ENSDARG00000057927	rps6ka3b	protein_coding
rps.1109588	1109588	22	ensembl_havana	26290209	26290863	.	+	ENSDARG00000041538	mrps28	protein_coding
rps.1120293	1120293	25	ensembl	2333258	2355107	.	-	ENSDARG00000038456	mrps35	protein_coding
rps.1148933	1148933	25	ensembl	34641536	34650374	.	+	ENSDARG00000100513	rps27l	protein_coding
rpa.1499	1499	4	ensembl	966061	983242	.	+	ENSDARG00000087962	rpap3	protein_coding
rpa.65783	65783	7	ensembl_havana	9290929	9305581	.	+	ENSDARG00000024651	snrpa1	protein_coding
rpa.297897	297897	2	ensembl_havana	10790875	10821053	.	-	ENSDARG00000038397	rpap2	protein_coding
rpa.442793	442793	16	ensembl_havana	4746588	4770233	.	-	ENSDARG00000037188	rpa2	protein_coding
rpa.611831	611831	17	ensembl_havana	31535764	31579733	.	-	ENSDARG00000075072	rpap1	protein_coding
rpa.737299	737299	18	ensembl_havana	35402759	35407790	.	-	ENSDARG00000018890	snrpa	protein_coding
rpa.813082	813082	19	ensembl_havana	25465025	25467185	.	+	ENSDARG00000002613	rpa3	protein_coding
rpa.853457	853457	15	ensembl_havana	26498339	26538989	.	-	ENSDARG00000003938	rpa1	protein_coding
rpp.309122	309122	2	ensembl_havana	23613040	23620223	.	+	ENSDARG00000017605	rpp40	protein_coding
rpp.465020	465020	16	ensembl_havana	28592495	28594181	.	-	ENSDARG00000040350	rpp38	protein_coding
rpp.477774	477774	16	ensembl_havana	41532616	41535713	.	-	ENSDARG00000070131	rpp25l	protein_coding
rpp.711048	711048	18	ensembl	783936	791639	.	+	ENSDARG00000112256	rpp25b	protein_coding
rpp.760694	760694	12	ensembl_havana	16446228	16452200	.	-	ENSDARG00000027428	rpp30	protein_coding
rpp.1091416	1091416	22	ensembl_havana	10158502	10164533	.	+	ENSDARG00000011152	rpp14	protein_coding
rpp.1096358	1096358	22	ensembl_havana	15429099	15437242	.	-	ENSDARG00000043404	rpp21	protein_coding
rpp.1145114	1145114	25	ensembl	29083447	29087925	.	-	ENSDARG00000101536	rpp25a	protein_coding
hbb.231484	231484	3	ensembl_havana	55091230	55092051	.	-	ENSDARG00000069734	hbba2	protein_coding
hbb.231508	231508	3	ensembl_havana	55098457	55099272	.	-	ENSDARG00000097238	hbba1	protein_coding
hbb.231532	231532	3	ensembl_havana	55103445	55104310	.	-	ENSDARG00000089087	hbba1	protein_coding
hbb.231562	231562	3	ensembl_havana	55114097	55114874	.	+	ENSDARG00000113599	hbbe1.1	protein_coding
hbb.231589	231589	3	ensembl_havana	55122662	55123439	.	+	ENSDARG00000115405	hbbe1.2	protein_coding
hbb.231616	231616	3	ensembl_havana	55131289	55132052	.	+	ENSDARG00000087390	hbbe1.3	protein_coding
hbb.765435	765435	12	ensembl_havana	20339413	20340543	.	-	ENSDARG00000038147	hbbe3	protein_coding
hbb.765485	765485	12	ensembl_havana	20349865	20350629	.	-	ENSDARG00000045143	hbbe2	protein_coding
hba.231496	231496	3	ensembl_havana	55093581	55094399	.	+	ENSDARG00000069735	hbaa2	protein_coding
hba.231520	231520	3	ensembl_havana	55100045	55100936	.	+	ENSDARG00000097011	hbaa1	protein_coding
hba.231577	231577	3	ensembl_havana	55120330	55121125	.	-	ENSDARG00000089475	hbae1.1	protein_coding
hba.231604	231604	3	ensembl_havana	55127549	55128258	.	-	ENSDARG00000088330	hbae1.3	protein_coding
hba.231628	231628	3	ensembl_havana	55138413	55139127	.	-	ENSDARG00000089124	hbae1.3	protein_coding
hba.231638	231638	3	ensembl_havana	55146418	55147788	.	-	ENSDARG00000079305	hbae3	protein_coding
hba.765447	765447	12	ensembl_havana	20342451	20353541	.	+	ENSDARG00000045142	hbae5	protein_coding
